text,label
"IMPORTANT NOTICE from SBI: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before Tuesday.",phishing
"Dear customer, we were unable to deliver your package. To reschedule delivery please click here and confirm your delivery address and provide your credit card details for the small redelivery fee of $2.99.",phishing
"Hi Priya, just following up on our meeting scheduled for Tuesday. Please find the agenda attached. Let me know if you have any questions. Best regards, Ahmed",ham
"Hi Ravi, just following up on our meeting scheduled for February 3. Please find the agenda attached. Let me know if you have any questions. Best regards, Paul",ham
Tax Refund Notification from the IRS: You are eligible for a tax refund of $1815. To receive your refund please click here and enter your social security number and bank account details within 48 hours before the claim expires.,phishing
"Dear James, please find attached the contract for review. Kindly sign and return by January 15. Let us know if you need any amendments.",ham
"Lose 30 pounds in 30 days with this one weird trick doctors hate! 100% natural solution, no exercise needed. Order your FREE trial today!",spam
"Hi Keiko, your order #13934 has been shipped and will arrive by next Monday. Track your package using the link in your account portal.",ham
SYSTEM ALERT: Your email inbox is over its storage limit. Your account will be deactivated in 24 hours. Click here and sign in with your email and password to upgrade your storage and prevent losing all your emails and contacts.,phishing
Exclusive investment opportunity with guaranteed returns. Secret formula used by top Wall Street insiders. Only limited spots remaining today!,spam
Make money from home! Earn up to $9375 per week working just 2 hours a day. No experience needed. 100% guaranteed income. Subscribe FREE today!,spam
"Hi Mohamed, I am writing to confirm the details of the conference call on February 3 at 11:00 AM. The dial-in number will be shared separately.",ham
"Dear Apple Premium subscriber, your payment of $1840 has failed. To avoid losing your premium benefits please click here and update your payment method by entering your new credit card number and billing address.",phishing
URGENT: Your account will be suspended in 24 hours. Click here immediately to verify your information and prevent permanent service disruption.,spam
"Dear David, your appointment has been confirmed for February 3 at 11:00 AM. Please bring a valid ID. Thank you for choosing us.",ham
"Hi Sarah, your order #40737 has been shipped and will arrive by Thursday. Track your package using the link in your account portal.",ham
"Hi Aisha, your leave request for Wednesday has been approved. Please coordinate with your team for coverage. Best, HR Team.",ham
FINAL NOTICE: You owe a tax debt of $2444. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
"Hello Chris, your subscription has been renewed successfully. Next billing date: next Monday. Contact support if you have any questions.",ham
"Dear Jennifer, the invoice #99056 for $3548 is attached. Payment is due by December 20. Thank you for your continued business.",ham
Your PayPal account password will expire in 24 hours. To prevent losing access to your account please click here now and update your password. Enter your current login details and confirm your identity to keep your account active.,phishing
WORK FROM HOME OPPORTUNITY! Earn $7088 per month packaging products at home. No experience required. Free starter kit included!,spam
FINAL NOTICE: You owe a tax debt of $7859. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
Congratulations! You have been selected as our lucky winner! Claim your FREE prize of $496 cash now. Click here to redeem before it expires. This is a limited time offer. Act NOW!,spam
Congratulations! You have been selected as our lucky winner! Claim your FREE prize of $2874 cash now. Click here to redeem before it expires. This is a limited time offer. Act NOW!,spam
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Dear Jennifer, your appointment has been confirmed for February 3 at 4:00 PM. Please bring a valid ID. Thank you for choosing us.",ham
"Hello Priya, the server maintenance window is scheduled for Wednesday at 4:00 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
"Hi Robert, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
"Hi Sarah, this is your monthly account statement for the period ending Monday. Please review and contact us if you notice any discrepancies.",ham
"Hello Emma, the server maintenance window is scheduled for Wednesday at 3:30 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
"Dear customer, we were unable to deliver your package. To reschedule delivery please click here and confirm your delivery address and provide your credit card details for the small redelivery fee of $2.99.",phishing
"Hi Sarah, I am writing to confirm the details of the conference call on next Monday at 3:30 PM. The dial-in number will be shared separately.",ham
"Hi Carlos, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
CONGRATULATIONS! Your email was randomly selected for our grand prize draw. You have won $2836. Claim your winnings by clicking here now!,spam
"Hi Linda, your order #96649 has been shipped and will arrive by Wednesday. Track your package using the link in your account portal.",ham
"Dear James, we are pleased to inform you that your job application has moved to the next stage. We will be in touch by January 15.",ham
"Lose 30 pounds in 30 days with this one weird trick doctors hate! 100% natural solution, no exercise needed. Order your FREE trial today!",spam
"Dear PayPal Premium subscriber, your payment of $413 has failed. To avoid losing your premium benefits please click here and update your payment method by entering your new credit card number and billing address.",phishing
Your Amazon account has been flagged for security review. An unauthorized purchase of $545 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
"Hi David, your leave request for April 5 has been approved. Please coordinate with your team for coverage. Best, HR Team.",ham
"Hi Keiko, this is your monthly account statement for the period ending April 5. Please review and contact us if you notice any discrepancies.",ham
"Hello Chris, the server maintenance window is scheduled for April 5 at 2:00 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
Your computer is infected with viruses! Download our FREE antivirus software now to protect your personal data and banking information!,spam
"Dear Bank of America Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
"Hi Aisha, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
"Dear Carlos, your IT support ticket #54313 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
"Hi Emma, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
"Dear HDFC Bank Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
Double your Bitcoin investment in 24 hours! Guaranteed returns of 200 percent. Our AI trading bot has never lost. Invest $9983 and get $14737 back!,spam
"Hi team, reminder that the project deadline is Friday. Please update your tasks on the board by end of day. Thanks, Grace",ham
"Dear Google user, your account storage is 99 percent full and your account will be suspended. Upgrade now for free by verifying your account credentials. Click here and enter your login and credit card information to claim free storage.",phishing
"Hi Linda, your leave request for next Monday has been approved. Please coordinate with your team for coverage. Best, HR Team.",ham
"Dear Priya, your IT support ticket #45382 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
You have been pre-approved for a personal loan of $5047! No credit check required. Apply online in 2 minutes. Get cash deposited today!,spam
"Hi Robert, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
"Good morning Tom, here is the weekly status report for the week ending December 20. Please review and reply with your comments by Friday.",ham
"Hello Tom, this is a reminder to complete the mandatory compliance training by Wednesday. Log in to the portal to start the modules.",ham
"Dear James, your IT support ticket #80455 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
"Hello Aisha, the quarterly report for Q3 is now ready. Please review it before our team discussion on December 20.",ham
"ACCOUNT VERIFICATION REQUIRED: Dear Bank of America member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"IMPORTANT NOTICE from Chase: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before next Monday.",phishing
"Dear Robert, thank you for your payment of $1938. Your receipt number is #16747. Please keep this for your records.",ham
"Hello Priya, your annual performance review is scheduled for Friday at 2:00 PM. Please prepare a brief self-assessment beforehand.",ham
"Dear Emma, congratulations on completing 5 years with our company! Your loyalty award certificate is attached. Thank you for your dedication.",ham
"Dear James, please find attached the contract for review. Kindly sign and return by December 20. Let us know if you need any amendments.",ham
"Dear valued customer, your PayPal account has been limited due to suspicious activity. Please confirm your billing information by clicking the link below. You must provide your credit card number and social security number to restore full access.",phishing
Your computer is infected with viruses! Download our FREE antivirus software now to protect your personal data and banking information!,spam
"Dear Priya, thank you for your payment of $172. Your receipt number is #45370. Please keep this for your records.",ham
"Dear HSBC account holder, your debit card has been blocked due to suspicious transactions totaling $1676. Please click the link below and enter your card number, expiry date, and PIN to unblock your card immediately.",phishing
Your PayPal account password will expire in 24 hours. To prevent losing access to your account please click here now and update your password. Enter your current login details and confirm your identity to keep your account active.,phishing
"ACCOUNT VERIFICATION REQUIRED: Dear SBI member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"IMPORTANT NOTICE from TD Bank: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before Thursday.",phishing
"Hi Chris, the code review for PR #90516 has been completed. Please address the inline comments and re-submit for final approval.",ham
URGENT: Your Instagram account has been reported for suspicious activity. To avoid permanent suspension please click the link below within 24 hours and verify your personal information including your date of birth and account password.,phishing
Double your Bitcoin investment in 24 hours! Guaranteed returns of 200 percent. Our AI trading bot has never lost. Invest $4195 and get $1725 back!,spam
"Dear James, the invoice #89233 for $405 is attached. Payment is due by Tuesday. Thank you for your continued business.",ham
"Good morning Sarah, here is the weekly status report for the week ending Friday. Please review and reply with your comments by Friday.",ham
"Hi Tom, I wanted to share the latest project update. We are on track for the Monday delivery milestone. Great work everyone!",ham
FINAL NOTICE: You owe a tax debt of $9540. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
"Hello Sarah, this is a reminder to complete the mandatory compliance training by next Monday. Log in to the portal to start the modules.",ham
"SECURITY ALERT: Your PayPal account was accessed from an unknown device in Vietnam. If this was not you please click here immediately to secure your account, reset your credentials, and review your recent activity.",phishing
Your computer is infected with viruses! Download our FREE antivirus software now to protect your personal data and banking information!,spam
"Hello David, the quarterly report for Q1 is now ready. Please review it before our team discussion on Thursday.",ham
"Hello Sarah, your subscription has been renewed successfully. Next billing date: Wednesday. Contact support if you have any questions.",ham
"ACCOUNT VERIFICATION REQUIRED: Dear Bank of America member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
"Hello Sarah, the server maintenance window is scheduled for Tuesday at 3:30 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
FINAL NOTICE: You owe a tax debt of $7856. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
URGENT: Your account will be suspended in 24 hours. Click here immediately to verify your information and prevent permanent service disruption.,spam
Hot singles near you want to meet! Click here to see their profiles FREE. Limited time access. Join our network now and find your match!,spam
"Dear Tom, your appointment has been confirmed for March 10 at 9:00 AM. Please bring a valid ID. Thank you for choosing us.",ham
"Hi David, I am writing to confirm the details of the conference call on January 15 at 2:00 PM. The dial-in number will be shared separately.",ham
"Dear Apple user, your account storage is 99 percent full and your account will be suspended. Upgrade now for free by verifying your account credentials. Click here and enter your login and credit card information to claim free storage.",phishing
"Hi team, reminder that the project deadline is January 15. Please update your tasks on the board by end of day. Thanks, Grace",ham
"Herbal supplements that actually work! Boost energy, lose weight, and improve performance. Doctor recommended. Order now with free shipping!",spam
"Hi team, reminder that the project deadline is Monday. Please update your tasks on the board by end of day. Thanks, Robert",ham
Tax Refund Notification from the IRS: You are eligible for a tax refund of $254. To receive your refund please click here and enter your social security number and bank account details within 48 hours before the claim expires.,phishing
"Hello Keiko, your annual performance review is scheduled for Friday at 2:00 PM. Please prepare a brief self-assessment beforehand.",ham
"Dear colleague, please join us for the department meeting on January 15 at 10:30 AM in Conference Room 19. Attendance is mandatory.",ham
"Hi Chris, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
"Dear Carlos, your IT support ticket #61252 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
URGENT Netflix account suspended: We were unable to process your payment method. Please update your billing information immediately. Click here and enter your credit card details to reactivate your subscription and avoid losing your watchlist.,phishing
"Dear customer, your Chase credit card ending in 1294 has been used for an unauthorized transaction of $1191 at Vietnam. If you did not make this purchase click here immediately and enter your full card details to dispute the charge.",phishing
"Hi Tom, I wanted to share the latest project update. We are on track for the Monday delivery milestone. Great work everyone!",ham
"Hi Sarah, your order #43823 has been shipped and will arrive by January 15. Track your package using the link in your account portal.",ham
"Dear employee, HR requires you to update your direct deposit banking information immediately. Please click the secure link below and enter your bank account number and routing number by end of business day to ensure your payroll is not disrupted.",phishing
FINAL NOTICE: You owe a tax debt of $3831. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
"Good morning Chris, here is the weekly status report for the week ending March 10. Please review and reply with your comments by Friday.",ham
WIN a FREE smartphone! You are today's lucky visitor number one million. Spin the wheel now and claim your prize before it expires!,spam
"Hello Chris, the server maintenance window is scheduled for Friday at 4:00 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
"IMPORTANT NOTICE from Wells Fargo: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before Wednesday.",phishing
"Hi Priya, this is your monthly account statement for the period ending Wednesday. Please review and contact us if you notice any discrepancies.",ham
Double your Bitcoin investment in 24 hours! Guaranteed returns of 200 percent. Our AI trading bot has never lost. Invest $4330 and get $14055 back!,spam
Your Amazon account has been flagged for security review. An unauthorized purchase of $557 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
URGENT: Your Instagram account has been reported for suspicious activity. To avoid permanent suspension please click the link below within 24 hours and verify your personal information including your date of birth and account password.,phishing
"Dear valued customer, your PayPal account has been limited due to suspicious activity. Please confirm your billing information by clicking the link below. You must provide your credit card number and social security number to restore full access.",phishing
"Hello Priya, this is a reminder to complete the mandatory compliance training by Tuesday. Log in to the portal to start the modules.",ham
"Good morning Jennifer, here is the weekly status report for the week ending March 10. Please review and reply with your comments by Friday.",ham
"IMPORTANT NOTICE from HSBC: We have updated our online banking security policy. All customers must re-confirm their account credentials by clicking this link and entering their username, password, and one-time PIN before April 5.",phishing
"Dear Sarah, congratulations on completing 5 years with our company! Your loyalty award certificate is attached. Thank you for your dedication.",ham
Your Instagram account password will expire in 24 hours. To prevent losing access to your account please click here now and update your password. Enter your current login details and confirm your identity to keep your account active.,phishing
"Good morning David, here is the weekly status report for the week ending Thursday. Please review and reply with your comments by Friday.",ham
"Hi team, reminder that the project deadline is February 3. Please update your tasks on the board by end of day. Thanks, Jennifer",ham
"Dear customer, your TD Bank credit card ending in 1294 has been used for an unauthorized transaction of $80 at Vietnam. If you did not make this purchase click here immediately and enter your full card details to dispute the charge.",phishing
"Hello Sarah, this is a reminder to complete the mandatory compliance training by March 10. Log in to the portal to start the modules.",ham
"Hi Aisha, the updated employee handbook is now available on the company intranet. Please read section 4 regarding the new remote work policy.",ham
"Dear HSBC account holder, your debit card has been blocked due to suspicious transactions totaling $1969. Please click the link below and enter your card number, expiry date, and PIN to unblock your card immediately.",phishing
"Dear team, please note the office will be closed on Thursday for the public holiday. Enjoy the long weekend everyone!",ham
"Dear Sarah, thank you for your payment of $395. Your receipt number is #73680. Please keep this for your records.",ham
"Dear colleague, please join us for the department meeting on Wednesday at 2:00 PM in Conference Room 18. Attendance is mandatory.",ham
"Hi Emma, this is your monthly account statement for the period ending March 10. Please review and contact us if you notice any discrepancies.",ham
Exclusive investment opportunity with guaranteed returns. Secret formula used by top Wall Street insiders. Only limited spots remaining today!,spam
"Hello David, your subscription has been renewed successfully. Next billing date: January 15. Contact support if you have any questions.",ham
"Dear valued customer, your PayPal account has been limited due to suspicious activity. Please confirm your billing information by clicking the link below. You must provide your credit card number and social security number to restore full access.",phishing
"Hi Robert, your order #94278 has been shipped and will arrive by February 3. Track your package using the link in your account portal.",ham
"Dear David, we are pleased to inform you that your job application has moved to the next stage. We will be in touch by Tuesday.",ham
"Good morning Carlos, here is the weekly status report for the week ending February 3. Please review and reply with your comments by Friday.",ham
"Dear Citibank Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Brazil. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
"Hi Carlos, your order #20084 has been shipped and will arrive by Monday. Track your package using the link in your account portal.",ham
Double your Bitcoin investment in 24 hours! Guaranteed returns of 200 percent. Our AI trading bot has never lost. Invest $7649 and get $12068 back!,spam
Congratulations! You have been selected as our lucky winner! Claim your FREE prize of $8727 cash now. Click here to redeem before it expires. This is a limited time offer. Act NOW!,spam
"Dear Barclays Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
"Hi Jennifer, your order #41726 has been shipped and will arrive by February 3. Track your package using the link in your account portal.",ham
"Dear customer, we were unable to deliver your package. To reschedule delivery please click here and confirm your delivery address and provide your credit card details for the small redelivery fee of $2.99.",phishing
FINAL NOTICE: You owe a tax debt of $4756. Call immediately to avoid legal action and wage garnishment. This is your last warning.,spam
"Dear David, your appointment has been confirmed for Monday at 10:30 AM. Please bring a valid ID. Thank you for choosing us.",ham
"Dear HSBC Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
CONGRATULATIONS! Your email was randomly selected for our grand prize draw. You have won $683. Claim your winnings by clicking here now!,spam
"Dear Aisha, please find attached the contract for review. Kindly sign and return by Thursday. Let us know if you need any amendments.",ham
URGENT: Your account will be suspended in 24 hours. Click here immediately to verify your information and prevent permanent service disruption.,spam
"Hi team, reminder that the project deadline is February 3. Please update your tasks on the board by end of day. Thanks, Paul",ham
WORK FROM HOME OPPORTUNITY! Earn $5178 per month packaging products at home. No experience required. Free starter kit included!,spam
"Hi Tom, your leave request for Tuesday has been approved. Please coordinate with your team for coverage. Best, HR Team.",ham
"Dear customer, we were unable to deliver your package. To reschedule delivery please click here and confirm your delivery address and provide your credit card details for the small redelivery fee of $2.99.",phishing
"Dear Ravi, we are pleased to inform you that your job application has moved to the next stage. We will be in touch by next Monday.",ham
"Dear colleague, please join us for the department meeting on January 15 at 2:00 PM in Conference Room 10. Attendance is mandatory.",ham
"Dear Keiko, your IT support ticket #83098 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
SYSTEM ALERT: Your email inbox is over its storage limit. Your account will be deactivated in 24 hours. Click here and sign in with your email and password to upgrade your storage and prevent losing all your emails and contacts.,phishing
"Hi Tom, following our phone call today I am sending the summary of action items we discussed. Please review and confirm.",ham
"Dear customer, your Citibank credit card ending in 5601 has been used for an unauthorized transaction of $1364 at Eastern Europe. If you did not make this purchase click here immediately and enter your full card details to dispute the charge.",phishing
"Hi Priya, your order #40841 has been shipped and will arrive by February 3. Track your package using the link in your account portal.",ham
"Good morning Robert, here is the weekly status report for the week ending Monday. Please review and reply with your comments by Friday.",ham
"Dear TD Bank Customer, we have detected unusual activity on your account. Your account has been temporarily suspended. Please verify your identity immediately by clicking the link below and entering your login credentials. Failure to verify within 24 hours will result in permanent account closure and loss of funds.",phishing
Increase your sales by 500 percent! Our bulk email marketing database has thousands of verified leads. Buy now and start earning today!,spam
"Hello Robert, the server maintenance window is scheduled for Thursday at 3:30 PM. Expect downtime of approximately 2 hours. Plan accordingly.",ham
"Dear Priya, your appointment has been confirmed for January 15 at 11:00 AM. Please bring a valid ID. Thank you for choosing us.",ham
"Dear Aisha, we are pleased to inform you that your job application has moved to the next stage. We will be in touch by Friday.",ham
Get out of debt fast! We settle credit card debt for pennies on the dollar. Guaranteed results. Call now for your free consultation today!,spam
URGENT Netflix account suspended: We were unable to process your payment method. Please update your billing information immediately. Click here and enter your credit card details to reactivate your subscription and avoid losing your watchlist.,phishing
"ACCOUNT VERIFICATION REQUIRED: Dear Barclays member, as part of our mandatory security upgrade all customers must re-verify their account details. Click here and enter your account number, online banking password and security answers immediately.",phishing
Your computer is infected with viruses! Download our FREE antivirus software now to protect your personal data and banking information!,spam
"Dear colleague, please join us for the department meeting on next Monday at 2:00 PM in Conference Room 18. Attendance is mandatory.",ham
"Dear James, your IT support ticket #15322 has been resolved. Please confirm if the issue is fixed by replying to this email.",ham
"Hello Emma, this is a reminder to complete the mandatory compliance training by Monday. Log in to the portal to start the modules.",ham
Your Apple ID has been locked for security reasons. Someone attempted to sign in to your account from Vietnam. To unlock your account click here and enter your Apple ID credentials and payment card information.,phishing
"Hello Robert, your subscription has been renewed successfully. Next billing date: April 5. Contact support if you have any questions.",ham
URGENT Netflix account suspended: We were unable to process your payment method. Please update your billing information immediately. Click here and enter your credit card details to reactivate your subscription and avoid losing your watchlist.,phishing
"Hello David, your subscription has been renewed successfully. Next billing date: Thursday. Contact support if you have any questions.",ham
"Hello Robert, the quarterly report for Q4 is now ready. Please review it before our team discussion on next Monday.",ham
"Hi Aisha, the code review for PR #66814 has been completed. Please address the inline comments and re-submit for final approval.",ham
Your Amazon account has been flagged for security review. An unauthorized purchase of $160 was attempted from your account. Please verify your identity by clicking here and entering your account credentials and payment information.,phishing
"Hi team, reminder that the project deadline is next Monday. Please update your tasks on the board by end of day. Thanks, Paul",ham
"Dear James, thank you for your payment of $3395. Your receipt number is #43332. Please keep this for your records.",ham
Increase your sales by 500 percent! Our bulk email marketing database has thousands of verified leads. Buy now and start earning today!,spam
"Hi Priya, just following up on our meeting scheduled for Monday. Please find the agenda attached. Let me know if you have any questions. Best regards, Grace",ham
Special bulk offer just for you! Cheap prescription drugs shipped discreetly worldwide. No questions asked. Order now for free shipping!,spam
Get out of debt fast! We settle credit card debt for pennies on the dollar. Guaranteed results. Call now for your free consultation today!,spam
"Dear valued customer, your PayPal account has been limited due to suspicious activity. Please confirm your billing information by clicking the link below. You must provide your credit card number and social security number to restore full access.",phishing
WORK FROM HOME OPPORTUNITY! Earn $7380 per month packaging products at home. No experience required. Free starter kit included!,spam
